1308.12,1309.46,1311.025,1312.25,1313.4,1308.67,1310.24,1311.29,1312.73,1313.605
1309.695,1310.955,1312.02,1312.99,1313.965,1309.275,1310.45,1311.92,1313.13,1314.58
1310.33,1311.545,1312.895,1314.325,1315.43,1310.14,1311.36,1312.735,1313.955,1315.55
1308.565,1309.69,1310.89,1312.385,1313.365,1307.755,1309.4,1310.655,1312.01,1313.265
1310.05,1311.155,1312.3,1313.825,1314.67,1310.225,1311.365,1312.885,1314.175,1315.12
1310.815,1311.845,1313.655,1314.675,1316.08,1310.61,1311.81,1313.27,1314.375,1315.64
1310.655,1311.96,1313.18,1314.69,1315.59,1310.255,1311.39,1312.96,1314.04,1315.655
1308.69,1310.02,1311.185,1312.715,1313.71,1308.62,1309.53,1311.445,1312.585,1314.02
1307.78,1309.025,1310.465,1311.48,1312.065,1307.845,1308.935,1310.55,1312.225,1313.1
1309,1310.075,1311.37,1312.605,1313.645,1308.745,1310.03,1311.5,1312.82,1313.755
1309.82,1310.935,1312.31,1313.555,1314.525,1309.745,1310.81,1312.365,1313.475,1314.935
1309.54,1310.33,1311.73,1313.12,1314.2,1309.28,1310.45,1312.05,1313.21,1314.755
1307.395,1308.715,1310.175,1311.185,1312.37,1307.545,1309.25,1310.665,1311.7,1312.995
1306.95,1307.99,1309.555,1310.85,1312.05,1307.205,1308.3,1309.485,1310.38,1311.765
1307.915,1309.25,1310.495,1311.705,1312.585,1307.56,1308.84,1310.39,1311.685,1313.125
1310.8,1312.02,1313.82,1315.12,1316.475,1312.02,1312.98,1314.285,1315.385,1316.135
1310.655,1311.47,1313.39,1314.61,1315.77,1310.705,1311.8,1313.285,1314.565,1315.535
1310.51,1311.72,1313.255,1314.445,1315.78,1310.16,1311.74,1313.205,1314.345,1315.575
1309.235,1310.3,1312.04,1313.26,1314.175,1309.045,1310.47,1311.81,1313.01,1314.3
1309.98,1311.275,1312.805,1313.92,1315.19,1310.41,1311.605,1313.275,1314.325,1315.15
1310.395,1311.215,1312.82,1314.09,1315.255,1310.225,1311.545,1312.84,1314.025,1314.955
1310.43,1311.67,1313.2,1314.525,1315.46,1310.105,1311.45,1312.985,1314.335,1315.42
1309.125,1310.545,1312.055,1313.455,1314.365,1309.42,1310.575,1312.045,1313.35,1314.485
1309.32,1310.635,1311.76,1313.2,1314.17,1309.485,1310.585,1312.315,1313.745,1314.685
1309.735,1310.52,1312.49,1313.57,1314.74,1309.74,1311.01,1312.15,1313.48,1314.685
1310.11,1311.355,1312.805,1314.195,1315.31,1310.24,1311.425,1313.045,1313.98,1315.3
1309.055,1310.215,1311.625,1312.885,1314,1308.95,1310.055,1311.755,1312.785,1313.945
1310.205,1311.515,1312.835,1313.87,1315.105,1310.445,1311.605,1313.21,1314.5,1315.52
1310.855,1311.915,1313.67,1314.68,1316.14,1310.92,1312.16,1313.475,1314.57,1315.74
1311.095,1312.62,1313.945,1315.18,1316.17,1310.945,1312.405,1313.89,1315.175,1316.4
1310.055,1311.15,1312.595,1313.695,1314.67,1309.72,1310.895,1312.57,1313.925,1314.905
